id,name,description,price,quantity,min_quantity,category,image
16,"בנק כוח 20000mAh","בנק כוח מהיר עם יציאות מרובות",199.99,59,15,אלקטרוניקה,"https://mtmobile28.co.il/wp-content/uploads/2025/06/%D7%9E%D7%98%D7%A2%D7%A0%D7%9F-%D7%A0%D7%99%D7%99%D7%93.jpg"
17,"מגן זכוכית לטלפון","מגן זכוכית מחוסמת",29.99,200,50,אלקטרוניקה,"https://mtmobile28.co.il/wp-content/uploads/2024/01/GLASS%D7%96%D7%9B%D7%95%D7%9B%D7%99%D7%AA-%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%9F-%D7%AA%D7%9E%D7%A8.jpg"
18,"חולצת פולו Ralph Lauren","חולצת פולו קלאסית מכותנה",399.99,37,8,ביגוד,"https://mallshoes.co.il/wp-content/uploads/2020/10/%D7%A8%D7%90%D7%9C%D7%A3-%D7%9C%D7%95%D7%A8%D7%9F-RALPH-LAUREN-POLO-TSHIRT-SHORT-MENS-Midnight-Express.jpg"
19,"גינס Levi 501","גינס קלאסי בגזרה ישרה",329.99,49,10,ביגוד,"https://amiam.co.il/wp-content/uploads/2024/01/classic-jeans-600x600.d110a0.webp"
20,"נעלי Nike Air Max","נעלי ספורט נוחות עם כריות אוויר",599.99,34,7,ביגוד,"https://sneakersonline.co.il/wp-content/uploads/2025/05/air-max-bw-og-persian-violet-2021-2-600x600.webp"
21,"נעלי Adidas Stan Smith","נעלי ספורט קלאסיות בצבע לבן",449.99,30,6,ביגוד,"https://mallshoes.co.il/wp-content/uploads/2020/07/ADIDAS-Stan-Smith-White-Dark-Blue-Tail-8.jpg"
22,"שמלת קיץ Zara","שמלה קלילה לעונת הקיץ",199.99,25,5,ביגוד,"https://example.com/zara_dress.jpg"
23,"חליפה","חליפת עבודה אלגנטית",1999.99,15,3,ביגוד,"https://www.golf-il.co.il/pub/media/catalog/product/cache/d947544493069166d5cc618d4417273e/5/8/5828907_112_a-17192291311312262.jpg"
24,"מעיל עור","זקט עור אמיתי באיכות גבוהה",899.99,20,4,ביגוד,"https://d3m9l0v76dty0.cloudfront.net/system/photos/11042339/large/2cba46f742c43949b307a36490272188.jpg"
25,"חולצת כפתורים Calvin Klein","חולצה מעוצבת לאירועים",299.99,30,6,ביגוד,"https://surfin.co.il/wp-content/uploads/2024/10/03AMSH_8264-1-861x1065-1.b197b0.webp"
26,"מכנסי טרנינג Puma","מכנסיים נוחים לפעילות ספורטיבית",179.99,45,9,ביגוד,"https://liatsboutique.co.il/wp-content/uploads/2025/02/%D7%98%D7%99%D7%99%D7%A5-%D7%9C%D7%95%D7%92%D7%95-1.jpg"
27,"גרביים צמר","גרביים חמים מצמר מרינו",79.99,100,20,ביגוד,"https://shoppu.co.il/cdn/shop/products/TX2103BK.jpg?v=1608034858&width=980"
28,"כובע מצחייה New Era","כובע בייסבול עם לוגו",149.99,40,8,ביגוד,"https://neweracap.co.il/wp-content/uploads/60595320_3QL-1000x1000.jpg"
29,"תחתונים Calvin Klein","תחתונים מכותנה באיכות גבוהה",99.99,60,12,ביגוד,"https://mallshoes.co.il/wp-content/uploads/2020/08/UNDERWEAR-3PCS-CK-1.png"
30,"בגד ים נשים","בגד ים דו חלקי באיכות גבוהה",199.99,30,6,ביגוד,"https://example.com/bikini.jpg"
31,"מעיל חורף North Face","מעיל חם ועמיד במים",799.99,19,4,ביגוד,"https://d3m9l0v76dty0.cloudfront.net/system/photos/15682065/large/36d22a7fed2d7e405ed3ef62d002aa0f.jpg"
32,"חגורת עור","חגורה מעור אמיתי",149.99,35,7,ביגוד,"https://images.cdn-files-a.com/uploads/6037003/2000_6232417b8ad92.jpg"
33,"כפפות חורף","כפפות חמות מצמר",59.99,50,10,ביגוד,"https://d3m9l0v76dty0.cloudfront.net/system/photos/3217105/large/0c7cf9f2fe2baa1055d92754b3234cc9.jpg"
34,"צעיף קשמיר","צעיף רך וחם",199.99,25,5,ביגוד,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1008,h_1310,q_auto,f_auto,e_sharpen/SD_03_T09_6400_PK_X_EC_90"
35,"מיטת זוגית עם מזרן","מיטה מעוצבת עם מזרן אורתופדי",2999.99,11,3,בית וגן,"https://alinasleep.co.il/wp-content/uploads/2023/02/22-53-05_01-5-1024x768.jpg"
36,"ספה 3 מושבים","ספה נוחה לסלון",3999.99,8,2,בית וגן,"https://www.sitdown.co.il/wp-content/uploads/2023/07/alexander-290_FROZEN-0271_resize-1.jpg"
37,"שולחן אוכל מעץ","שולחן עגול ל-6 סועדים",1999.99,15,3,בית וגן,"https://tivhaetz.com/wp-content/uploads/2024/06/%D7%A9%D7%95%D7%9C%D7%97%D7%9F-%D7%91%D7%95%D7%9C%D7%95%D7%A0%D7%99%D7%94-1.jpg"
38,"כיסאות מטבח (4 יחידות)","כיסאות מעוצבים למטבח",799.99,20,4,בית וגן,"https://foldees.co.il/cdn/shop/files/b0a5332eeaac228150487856919b1fa5_9f210a4b-7308-489b-b669-4bf9ab2de697.jpg?v=1739968745&width=700"
39,"מקרר Samsung 500L","מקרר משפחתי עם מקפיא",4999.99,10,2,בית וגן,"https://zabilo.com/33700-small_default/rt47cg6006s9.jpg"
40,"תנור אפיה Bosch","תנור רב תכליתי עם גריל",2499.99,15,3,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/1719141165937-1.jpg?v=1734619839&width=823"
41,"מכונת כביסה 8KG","מכונת כביסה אוטומטית",1999.99,12,3,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/1704894479957-1.jpg?v=1749186987&width=823"
42,"מייבש כביסה","מייבש בנפח 7 ק"ג",2299.99,10,2,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/1726387689943-1.jpg?v=1726477949&width=823"
43,"שואב אבק Dyson","שאיב אבק אלחוטי",1699.99,18,4,בית וגן,"https://cdn.istores.co.il/image/upload/c_fill,h_100,w_100/c_fit,h_100,w_100/dpr_2/clients/135527/d89b3dab33456b8d63f4e1f391bd96689b38afc3.jpg"
44,"מזגן עילי 1.5 כוח סוס","מזגן אינוורטר חסכוני",1799.99,12,3,בית וגן,"https://electra.mashav.com/images/facebook/a-inverter600.jpg"
45,"מנורת שולחן LED","מנורה מעוצבת עם תאורת LED",199.99,40,8,בית וגן,"https://www.lior-lighting.com/wp-content/uploads/2024/01/18660-05-30.webp"
46,"שטיח סלון 2x3","שטיח מעוצב לסלון",599.99,25,5,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/1645963540054-2.jpg?v=1712562122&width=823"
47,"מראה לחדר שינה","מראה מעוצבת עם מסגרת",299.99,30,6,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/1645963540054-2.jpg?v=1712562122&width=823"
48,"כלים לבישול (סט)","סט סירים וחביתות",799.99,20,4,בית וגן,"https://www.chefpoint.co.il/wp-content/uploads/2020/01/1.jpg"
49,"מטאטא רצפה","מטאטא לניקוי רצפה",79.99,50,10,בית וגן,"https://tyroler.co.il/wp-content/uploads/2024/06/Broom_Lightweight_01_main_notext-1.jpg"
50,"מצעים למיטה זוגית","סט מצעים מכותנה",299.99,35,7,בית וגן,"https://www.homecenter.co.il/cdn/shop/files/5150118541-1.jpg?v=1710261139&width=823"
51,"וילונות לסלון","וילונות מעוצבות",399.99,25,5,בית וגן,"https://cdn.exiteme.com/exitetogo/www.vilonet.co.il/gallery/products/09BA0151-81D3-05BE-3BAA-FD2C3D6380DB.jpg"
52,"אופני הרים Trek","אופני הרים מקצועיים",4999.99,8,2,ספורט ונופש,"https://bikebook.co.il/wp-content/uploads/2024/02/nirvana-tour-base-grey-5.webp"
53,"כדורגל Nike","כדורגל מקצועי",149.99,30,6,ספורט ונופש,"https://mikasatukasa.co.il/wp-content/uploads/2023/07/SCB0078_01.png"
54,"כדורסל Spalding","כדורסל רשמי",199.99,25,5,ספורט ונופש,"https://www.dvarimbego.co.il/pub/123432/%D7%99%D7%95%D7%A0%D7%99%D7%A1%D7%A4%D7%95%D7%A8%D7%98/887791143716.jpg?quality=65&height=380&mode=max"
55,"מחבט טניס Wilson","מחבט טניס מקצועי",699.99,15,3,ספורט ונופש,"https://www.daniel-fitness.co.il/images/itempics/3411_201220211636411_large.jpg"
56,"נעלי ריצה Asics","נעלי ריצה מקצועיות",599.99,20,4,ספורט ונופש,"https://brands-israel.co.il/wp-content/uploads/2025/02/IMG_0441.jpeg"
57,"תיק גב לטיולים","תיק גב 40 ליטר",399.99,18,4,ספורט ונופש,"https://d3m9l0v76dty0.cloudfront.net/system/photos/15479428/large/37351e8f8e4933eaae83299a2a49e777.jpg"
58,"אוהל ל-4 אנשים","אוהל עמיד במים",899.99,10,2,ספורט ונופש,"https://d3m9l0v76dty0.cloudfront.net/system/photos/15479428/large/37351e8f8e4933eaae83299a2a49e777.jpg"
59,"שק שינה","שק שינה חם לחורף",299.99,15,3,ספורט ונופש,"https://joseph-car-shop.co.il/wp-content/uploads/2021/12/1000448620.jpg"
60,"מזרן שטח","מזרן אוויר לקמפינג",199.99,20,4,ספורט ונופש,"https://www.homecenter.co.il/cdn/shop/files/1698930048216-1_54223183-8d13-40c6-b02f-4bbf95e3a390.jpg?v=1749981083&width=823"
61,"פנס ראש LED","פנס ראש עמיד במים",149.99,30,6,ספורט ונופש,"https://www.sollan.co.il/wp-content/uploads/2023/11/%D7%A4%D7%A0%D7%A1-%D7%A8%D7%90%D7%A92.jpg"
62,"בקבוק מים נירוסטה","בקבוק מים 1 ליטר",79.99,50,10,ספורט ונופש,"https://d3m9l0v76dty0.cloudfront.net/system/photos/12605596/large/d5365e07a02a17fea9d65675863c9521.jpg"
63,"משקפי שמש Ray-Ban","משקפי שמש מגנים מUV",699.99,25,5,ספורט ונופש,"https://d3m9l0v76dty0.cloudfront.net/system/photos/11040571/large/7ffaf201784d823aa344643a4d0df5e5.jpg"
64,"קסדה לאופניים","קסדה מגנה",199.99,20,4,ספורט ונופש,"https://i0.wp.com/bet-htinok.co.il/wp-content/uploads/2024/11/%D7%A7%D7%A1%D7%93%D7%94-%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D-KALOFUN-%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99-%D7%9E%D7%99%D7%93%D7%95%D7%AA-M-L-XL-8-1.jpg?fit=1000%2C1000&quality=89&ssl=1"
65,"מדחום דיגיטלי","מדחום עמיד במים",99.99,30,6,ספורט ונופש,"https://www.medikit.co.il/html5/web/8879/35741ImageFile2.jpg"
66,"רולרבליידס","רולרבליידס מקצועיים",799.99,12,3,ספורט ונופש,"https://contents.mediadecathlon.com/p2075873/1cr1/k$0109625342e5e5b879c3f69bdcefad8d/fit100-fitness-inline-skates-blackslashgrey.jpg?format=auto&f=768x0"
67,"קרש גלישה","קרש גלישה למתחילים",1299.99,6,2,ספורט ונופש,"https://storenet.co.il/wp-content/uploads/2025/03/3-4.png"
68,"חבל טיפוס","חבל טיפוס 30 מטר",399.99,15,3,ספורט ונופש,"https://www.daniel-fitness.co.il/images/itempics/3360_201020211225391_large.jpg"
69,"מדפסת HP LaserJet","מדפסת לייזר שחור לבן",899.99,15,3,טכנולוגיה,"https://d3m9l0v76dty0.cloudfront.net/system/photos/9841085/show/dc06950edf5cd605e9dbecf2994e73cf.jpg"
70,"נתב WiFi 6 TP-Link","נתב מהיר עם WiFi 6",599.99,20,4,טכנולוגיה,"https://shop.virtualgraffiti.co.il/cdn/shop/files/Aruba-AP22.png?v=1737664433"
71,"דיסק קשיח חיצוני 2TB","דיסק קשיח נייד",399.99,25,5,טכנולוגיה,"https://www.misradia.co.il/cdn/shop/files/original-48507.jpg?v=1704112204&width=700"
72,"SSD 1TB Samsung","כונן SSD מהיר",599.99,30,6,טכנולוגיה,"https://ksp.co.il/shop/items/131674.jpg?v=5"
73,"מצלמת אבטחה WiFi","מצלמת אבטחה חכמה",299.99,35,7,טכנולוגיה,"https://static.wixstatic.com/media/68366d_536ed099d174489d8c729ba8111808d4~mv2.jpeg/v1/fill/w_625,h_625,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/68366d_536ed099d174489d8c729ba8111808d4~mv2.jpeg"
74,"רמקול שקוע קיר","רמקול מחובר לקיר",150.99,20,4,טכנולוגיה,"https://peimot.com/Cat_471170_19428.jpg"
75,"מנורה חכמה Philips Hue","מנורה עם שליטה מהטלפון",199.99,40,8,טכנולוגיה,"https://store.topaudio.co.il/cdn/shop/files/8719514340121-929001953310-Hue_WA-5W-GU10-2P-EUR-RTP-TRN_360x.jpg?v=1718799611"
76,"שעון חכם Apple Watch","שעון חכם עם GPS",1999.99,23,3,טכנולוגיה,"https://mtmobile28.co.il/wp-content/uploads/2023/06/se-2-40mm.webp"
77,"טאבלט iPad Air","טאבלט 10.9 אינץ",2999.99,12,3,טכנולוגיה,"https://www.cls.co.il/files/products/product366806_model0_image0_2025-03-18_17-12-06.jpg"
78,"מחשב נייד גיימינג","מחשב נייד עם כרטיס גרפיקה",6999.99,8,2,טכנולוגיה,"https://d2d22nphq0yz8t.cloudfront.net/6cbcadef-96e0-49e9-b3bd-9921afe362db/www.payngo.co.il/media/catalog/product/0/0/00cca3491689064be63f8c0cb63f0652_5_3_1_2_3_1_1.png/w_700,h_700,r_contain"
79,"מיקרופון USB","מיקרופון להקלטה",299.99,25,5,טכנולוגיה,"https://peimot.com/Cat_471170_20559.webp"
80,"וובקאם 4K","מצלמת רשת באיכות 4K",399.99,20,4,טכנולוגיה,"https://d3m9l0v76dty0.cloudfront.net/system/photos/14047943/large/e4b920764b0596c534f0ad17c66be098.png"
81,"כרטיס זיכרון 128GB","כרטיס זיכרון מהיר",99.99,50,10,טכנולוגיה,"https://static.wixstatic.com/media/4e1c6b_5e98ac50f61b44e1bf030d8d06e50d12~mv2.gif"
82,"מטען רכב מהיר","מטען לרכב עם USB-C",79.99,40,8,טכנולוגיה,"https://shop.provisionisr.co.il/images/itempics/PR-QI-CC_03092024162302_large.jpg"
83,"מתאם USB-C ל-HDMI","מתאם לחיבור למסך",59.99,60,12,טכנולוגיה,"https://www.bestec.co.il/wp-content/uploads/2025/02/CMS.jpg"
84,"קפה אקספרסו איטלקי","קפה איכותי מאיטליה",89.99,100,20,מזון ומשקאות,"https://www.coffee-express.co.il/images/thumbs/0008558_-3-3-.jpeg"
85,"תה ירוק יפני","תה ירוק מיוחד מיפן",49.99,80,16,מזון ומשקאות,"https://shoppu.co.il/cdn/shop/files/5_148f91ab-4615-4153-a2d6-3b5aeb33b981.jpg?v=1720384698&width=980"
86,"שוקולד בלגי","שוקולד איכותי מבלגיה",39.99,197,30,מזון ומשקאות,"https://galitzki-chocolate.co.il/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-25-at-19.20.02-5.jpeg"
87,"דבש טבעי","דבש מפרחי בר",69.99,60,12,מזון ומשקאות,"https://lfbwinery.com/wp-content/uploads/2023/07/%D7%94%D7%93%D7%A8%D7%99%D7%9D-%D7%97%D7%A6%D7%99-1-removebg-preview.d110a0.webp"
88,"שמן זית כתית ","שמן זית איכותי",79.99,40,8,מזון ומשקאות,"https://raselhanut.co.il/wp-content/uploads/2023/11/empty-bottle-to-refill-768x768.png"
89,"פסטה","ספגטי",19.99,200,40,מזון ומשקאות,"https://d226b0iufwcjmj.cloudfront.net/items/large/3689.jpg?v=13"
90,"יין אדום","יין הר חרמון איכותי",199.99,30,6,מזון ומשקאות,"https://d226b0iufwcjmj.cloudfront.net/product-images/global/6019/1276790/large.jpg"
91,"גבינה פרמזן","גבינה איטלקית מיושנת",149.99,25,5,מזון ומשקאות,"https://example.com/parmesan.jpg"
92,"בירה בלגית","בירה מיוחדת מבלגיה",29.99,100,20,מזון ומשקאות,"https://wnf.co.il/media/catalog/product/cache/a3ca0856bdb6fa30c49bf0b073341741/d/u/duvel-330.jpg"
93,"מים מינרלים","מים מינרלים טבעיים",9.99,300,60,מזון ומשקאות,"https://savtott.co.il/wp-content/uploads/2024/12/%D7%9E%D7%99%D7%9D%D7%9D%D7%9D.jpg"
94,"אגוזי מלך","אגוזי מלך טריים",59.99,80,16,מזון ומשקאות,"https://raselhanut.co.il/wp-content/uploads/2022/01/O8A7610-1-768x512.jpg"
95,"שמן קוקוס","שמן קוקוס טבעי",49.99,50,10,מזון ומשקאות,"https://raselhanut.co.il/wp-content/uploads/2022/01/%D7%A9%D7%9E%D7%9F-%D7%A7%D7%95%D7%A7%D7%95%D7%A1-%D7%A9%D7%A7%D7%93-%D7%AA%D7%91%D7%95%D7%A8-768x768.png"
96,"מלח ים","מלח ים טבעי",19.99,100,20,מזון ומשקאות,"https://www.salt.co.il/wp-content/uploads/2015/02/shaker_red_sea.png"
97,"וניל אמיתי","תמצית וניל טבעית",39.99,40,8,מזון ומשקאות,"https://raselhanut.co.il/wp-content/uploads/2022/01/96129-768x768.jpeg"
98,"קינמון מקלות","קינמון טבעי",29.99,60,12,מזון ומשקאות,"https://ecdn.speedsize.com/bf110d93-4a13-494f-a7af-a4a0d6a289c5/ayeletspices.co.il/wp-content/uploads/2022/02/Makel-cinamon-scaled.jpg"
99,"סוכר חום","סוכר חום טבעי",24.99,80,16,מזון ומשקאות,"https://officeandmore.co.il/wp-content/uploads/2022/07/%D7%A1%D7%95%D7%9B%D7%A8-%D7%97%D7%95%D7%9D.jpg"
100,"חומץ בלסמי","חומץ בלסמי איטלקי",79.99,35,7,מזון ומשקאות,"https://d3m9l0v76dty0.cloudfront.net/system/photos/16191247/large/efce599f77f99f3ae06195d697b8b841.jpeg"
